current_plan,total_movies,avg_change,avg_shipping_delay,lowest_10pct_movies_in_plan,no_reported_scratched,no_reported_missing,moved_last_10_months,avg_movie_rating,age_60_plus,hddvd_request,referral,churn,validation
7,37,2,2,0,0,1,0,4.16,0,0,0,1,0
4,28,-4,0,1,1,0,0,3.83,1,0,0,1,0
4,38,-3,0,0,0,0,0,4.18,0,1,0,1,0
3,26,-5,1,0,0,0,0,4.12,0,0,0,1,0
5,28,-5,0,0,1,1,0,3.85,1,0,0,1,0
2,36,-1,2,0,4,1,0,3.91,0,0,0,1,0
8,32,1,0,0,1,1,0,4.12,0,0,0,1,0
4,29,-5,2,1,0,0,0,4.2,0,1,0,1,0
2,29,-2,0,0,2,1,1,3.91,0,0,0,1,0
3,31,-4,0,0,0,1,0,3.95,0,0,1,1,0
3,32,-3,0,0,1,0,0,3.94,0,1,0,1,0
4,31,-2,1,0,0,0,0,4.07,0,1,0,1,0
5,38,-1,0,1,1,0,0,3.94,0,0,0,1,0
5,41,-4,0,0,1,0,0,4.3,1,0,0,1,0
3,31,0,1,0,1,0,0,3.98,1,0,0,1,0
4,34,0,0,0,1,0,0,4.2,1,0,0,1,0
5,36,1,1,0,0,0,1,3.92,0,0,0,1,0
1,31,-3,0,1,3,0,0,4.09,0,1,0,1,0
1,29,-4,1,0,2,1,0,4.09,0,0,0,1,0
2,36,1,2,0,0,0,0,4.16,0,0,0,1,0
5,35,-3,0,0,1,1,0,4.05,0,0,0,1,0
4,37,2,0,0,1,0,0,4.1,0,0,1,1,0
1,43,0,0,1,1,0,0,4.220000000000001,0,0,0,1,0
3,46,-2,0,0,0,0,0,3.94,0,0,0,1,0
4,37,-4,1,1,2,0,1,4.109999999999999,0,0,0,1,0
1,47,-4,0,1,1,0,0,3.9299999999999997,1,0,0,1,0
4,42,-3,1,1,1,1,1,3.9299999999999997,0,0,0,1,0
1,30,3,1,0,1,0,0,3.8899999999999997,0,0,0,1,0
3,35,-3,1,0,1,0,0,3.92,0,0,0,1,0
2,43,-4,1,1,2,0,0,3.8600000000000003,0,1,0,1,0
4,44,2,2,0,2,1,0,3.91,0,0,0,1,0
4,34,1,1,1,0,1,0,3.8200000000000003,0,0,0,1,0
4,29,3,0,0,1,0,0,3.8899999999999997,0,0,0,1,0
4,39,-6,0,0,0,1,0,4.029999999999999,0,1,1,1,0
5,33,2,0,0,1,1,0,3.96,0,0,0,1,0
4,31,-2,1,0,2,1,0,4.23,0,0,1,1,0
1,32,-3,1,0,0,2,0,4.16,0,0,0,1,0
3,28,-2,0,0,0,0,0,4.05,1,1,1,1,0
2,34,-6,0,0,2,1,0,4.05,1,0,1,1,0
3,39,-6,0,0,1,0,0,4.02,0,0,1,1,0
4,30,-2,0,0,0,0,0,3.8,0,0,0,1,0
4,36,0,0,1,1,0,0,4.1,0,0,0,1,0
2,39,-4,0,0,1,1,0,4.25,0,0,1,1,0
3,42,-5,1,0,1,0,0,3.98,1,1,0,1,0
6,32,2,0,0,0,1,0,4.029999999999999,0,0,1,1,0
3,34,-3,2,0,0,0,0,4.08,0,0,0,1,0
2,41,-5,0,1,0,0,0,4.33,0,0,0,1,0
2,25,-2,0,0,2,0,0,3.99,0,0,0,1,0
4,45,0,1,0,0,0,0,3.87,0,0,0,1,0
3,34,2,1,1,1,0,0,4.08,0,0,0,1,0
1,36,-3,1,0,2,0,0,3.79,0,0,0,1,0
6,42,-4,0,0,2,0,0,3.99,0,0,0,1,0
2,41,1,0,1,2,0,1,4.029999999999999,1,0,0,1,0
5,32,2,0,0,1,0,0,3.96,0,0,0,1,0
4,24,-3,0,0,0,1,0,3.88,0,0,0,1,0
4,32,1,0,0,1,0,0,4.029999999999999,0,0,1,1,0
2,33,-1,0,0,1,0,1,4.15,0,0,0,1,0
2,30,-5,0,0,1,1,0,3.81,0,0,0,1,0
2,33,-3,2,0,1,0,0,4.27,1,0,0,1,0
6,31,-2,0,0,1,0,1,4.13,0,0,0,1,0
8,37,-2,0,0,0,2,0,4.02,1,0,0,1,0
4,31,-2,1,0,1,0,0,3.9,0,0,0,1,0
4,28,-1,1,0,0,0,0,4.12,0,0,0,1,0
2,34,-3,2,0,0,0,1,3.96,0,1,0,1,0
4,33,-1,0,0,1,0,0,4.2,0,1,1,1,0
3,31,-2,0,0,0,0,0,3.84,0,0,0,1,0
4,41,-1,0,0,3,0,0,3.8600000000000003,0,0,1,1,0
4,41,-1,0,0,1,0,0,3.84,1,0,0,1,0
3,28,-4,1,0,0,0,0,4.01,0,0,0,1,0
2,48,-2,0,0,1,0,0,3.8899999999999997,0,0,0,1,0
3,34,-2,1,0,1,0,0,4.09,0,1,0,1,0
3,40,-4,1,0,0,0,0,4.2,1,0,0,1,0
3,31,-2,2,0,1,0,0,4.07,1,0,0,1,0
2,38,0,1,0,0,1,0,4.3,0,0,1,1,0
4,28,-3,0,0,0,0,1,3.9,0,1,0,1,0
4,47,-2,1,0,1,1,0,3.95,0,0,1,1,0
3,34,-4,0,0,1,1,0,3.9699999999999998,0,0,1,1,0
1,33,-3,1,0,0,0,0,3.95,0,0,1,1,0
2,33,-3,0,0,0,1,1,4.08,0,0,1,1,0
1,35,3,0,1,1,0,0,4.0,0,0,0,1,0
2,31,-6,1,0,3,1,0,3.96,0,0,0,1,0
7,40,-4,2,0,0,0,0,4.07,0,1,0,1,0
3,38,-4,0,0,0,0,0,4.01,0,0,0,1,0
2,49,-4,0,0,1,0,0,3.81,0,0,0,1,0
3,25,-2,0,0,0,1,0,3.95,0,0,0,1,0
2,48,-1,0,0,4,0,0,4.12,0,0,1,1,0
1,40,-2,1,0,0,0,1,4.02,0,0,0,1,0
3,35,-1,2,0,2,1,1,3.8899999999999997,0,0,1,1,0
3,35,-2,1,1,1,0,0,3.95,0,0,1,1,0
5,32,-4,0,0,3,2,0,4.32,0,0,0,1,0
3,37,-3,0,0,2,1,0,3.83,0,0,0,1,0
3,42,-3,0,0,2,0,0,4.02,0,1,0,1,0
2,22,1,0,0,0,0,0,4.109999999999999,0,0,1,1,0
3,35,-3,0,1,1,1,0,4.17,0,0,1,1,0
3,35,1,1,0,0,0,0,4.23,0,0,0,1,0
3,26,-3,2,0,0,0,0,3.9,0,0,0,1,0
3,30,-2,0,0,1,0,1,4.029999999999999,0,1,0,1,0
6,30,-2,0,1,0,0,0,3.88,1,0,0,1,0
4,32,-2,1,0,1,2,0,4.02,0,0,1,1,0
2,32,0,0,0,3,1,0,4.029999999999999,0,0,0,1,0
1,36,-4,1,0,3,0,0,3.8899999999999997,0,0,0,1,0
3,32,0,2,0,1,0,0,4.09,0,0,1,1,0
5,29,1,0,1,0,0,0,4.27,0,0,0,1,0
3,29,-5,4,0,2,1,0,3.98,0,1,1,1,0
5,33,-1,0,0,1,0,0,4.1899999999999995,0,0,0,1,0
2,37,-3,0,0,0,0,0,4.0,0,0,0,1,0
4,33,-3,0,0,3,0,0,3.9699999999999998,0,0,0,1,0
2,35,1,0,0,0,0,0,3.81,1,0,0,1,0
3,31,-1,0,0,0,1,0,3.98,0,0,0,1,0
8,41,-5,0,0,3,0,0,4.21,0,1,0,1,0
3,35,3,2,0,2,0,0,4.01,0,0,0,1,0
4,40,1,0,0,2,0,0,3.77,0,0,0,1,0
3,37,-2,1,1,0,0,0,3.88,0,0,0,1,0
2,38,-4,0,0,1,0,0,3.8899999999999997,1,0,0,1,0
1,33,-2,0,0,0,0,0,3.95,0,0,1,1,0
2,23,-1,1,1,1,2,1,4.05,0,0,0,1,0
2,34,0,1,1,1,0,0,3.92,0,0,1,1,0
5,38,-5,0,1,0,0,0,3.99,1,0,0,1,0
5,32,0,0,0,0,0,0,3.95,0,0,0,1,0
3,31,4,1,0,2,1,0,3.9,0,1,0,1,0
3,34,0,1,0,2,1,0,3.85,1,0,0,1,0
1,40,-1,0,0,4,1,1,4.05,0,0,0,1,0
4,26,-4,2,1,3,0,0,4.1,1,0,0,1,0
3,29,0,0,0,1,0,0,4.24,0,0,0,1,0
6,38,-3,1,0,1,0,0,4.1,1,0,0,1,0
2,40,-5,2,0,0,1,1,3.8899999999999997,0,1,0,1,0
3,41,-2,2,1,1,0,0,3.95,0,1,0,1,0
3,35,-1,0,0,2,0,0,4.25,1,0,0,1,0
1,29,-3,1,0,2,1,1,3.9699999999999998,0,0,0,1,0
6,28,-5,0,0,0,1,0,3.95,0,0,0,1,0
4,32,-3,0,1,0,0,0,4.029999999999999,0,0,0,1,0
1,31,-3,0,1,0,0,0,4.220000000000001,0,0,0,1,0
4,28,-1,0,0,0,0,0,4.0,1,0,1,1,0
2,38,-5,1,0,1,0,0,3.94,0,0,0,1,0
3,39,-1,0,0,0,0,1,4.07,0,0,0,1,0
1,41,-1,0,0,2,1,0,4.15,0,0,0,1,0
3,32,-3,0,0,0,0,0,4.02,0,0,0,1,0
3,39,-5,1,0,2,1,1,4.23,0,0,0,1,0
3,27,-3,0,0,1,0,0,3.91,0,0,0,1,0
2,32,-3,1,0,0,0,0,4.2,0,0,0,1,0
5,33,-4,0,0,1,1,0,3.63,0,0,0,1,0
2,27,-4,0,0,0,0,0,4.4399999999999995,0,0,0,1,0
3,25,-3,1,0,2,0,0,4.08,1,0,0,1,0
5,29,-3,0,0,2,0,0,4.08,0,0,0,1,0
5,29,2,1,1,0,0,0,3.8600000000000003,0,0,1,1,0
3,34,-5,0,0,1,0,0,3.8600000000000003,1,0,1,1,0
1,29,-2,1,0,1,1,0,4.0,1,0,1,1,0
2,33,-4,0,0,0,0,0,4.17,0,0,0,1,0
4,35,3,1,0,1,0,0,4.02,0,1,1,1,0
3,36,2,0,0,2,2,0,3.87,0,0,0,1,0
5,38,-2,2,0,1,0,0,4.2,0,0,0,1,0
2,33,-2,0,0,0,1,1,4.09,0,0,1,1,0
4,42,-2,0,0,0,0,0,3.8600000000000003,0,0,0,1,0
7,34,-5,0,1,3,1,0,4.0,0,0,0,1,0
2,38,-5,1,0,0,0,0,4.02,0,1,0,1,0
2,34,-4,0,1,0,0,1,3.94,0,0,0,1,0
3,37,-5,0,0,0,0,1,4.42,0,0,1,1,0
2,36,-3,1,1,1,0,0,4.05,0,0,1,1,0
1,38,0,0,1,0,0,0,3.81,0,0,0,1,0
3,38,1,0,0,0,0,0,3.9,0,1,0,1,0
2,31,-5,1,0,0,0,0,3.98,0,1,0,1,0
4,31,-3,0,0,3,0,0,3.92,0,0,0,1,0
3,29,3,0,1,0,0,0,4.140000000000001,1,0,0,1,0
4,30,-3,2,0,2,0,1,4.07,0,0,1,1,0
3,38,0,1,0,1,0,0,3.81,1,0,0,1,0
5,36,-1,0,1,0,0,0,4.09,0,0,0,1,0
3,26,3,0,0,2,0,0,3.88,0,0,1,1,0
5,27,-2,0,0,2,0,0,3.88,0,1,0,1,0
3,31,-2,0,0,0,0,0,4.12,0,1,0,1,0
6,37,-2,0,0,0,0,0,3.92,0,1,0,1,0
4,22,-3,0,0,0,2,0,3.9699999999999998,0,1,0,1,0
2,30,-3,0,0,1,0,0,4.1899999999999995,0,0,1,1,0
3,31,-4,1,0,1,0,0,4.18,1,0,0,1,0
1,39,1,0,0,1,2,0,3.9299999999999997,0,0,1,1,0
3,29,-6,1,0,0,0,0,4.029999999999999,0,0,0,1,0
6,37,-4,1,0,1,1,0,4.220000000000001,0,0,0,1,0
4,21,-6,0,0,1,0,0,3.94,0,0,1,1,0
6,40,0,0,1,1,1,0,4.17,0,0,1,1,0
4,29,-2,1,1,0,0,0,3.99,0,0,0,1,0
3,42,1,0,0,1,3,0,4.0600000000000005,0,0,0,1,0
3,34,-3,2,0,0,1,0,4.02,0,0,0,1,0
4,40,-5,1,0,2,1,0,3.92,1,1,0,1,0
5,30,-1,0,0,2,0,0,3.8899999999999997,0,0,1,1,0
2,29,-6,0,0,1,0,0,4.1899999999999995,1,0,0,1,0
5,41,-2,1,0,0,1,0,4.04,0,0,0,1,0
2,28,-2,2,0,0,1,1,3.8,0,0,0,1,0
3,28,-6,1,1,0,0,0,4.15,0,0,0,1,0
8,36,-1,0,0,2,1,0,3.96,0,0,0,1,0
4,40,-3,0,0,2,0,0,4.23,0,1,0,1,0
4,32,-3,0,0,1,1,0,4.029999999999999,0,0,0,1,0
7,39,-1,1,1,0,0,1,3.83,0,0,1,1,0
4,40,-4,0,0,0,0,0,4.12,0,0,0,1,0
2,39,-2,1,1,0,0,0,3.91,0,0,0,1,0
3,35,-2,1,0,1,2,0,4.09,0,0,1,1,0
2,40,3,2,0,2,0,0,4.09,1,0,0,1,0
4,34,-1,1,0,1,3,0,3.65,0,0,0,1,0
1,27,-4,0,1,0,0,0,3.85,0,1,0,1,0
6,39,-4,0,0,0,0,0,4.390000000000001,0,1,0,1,0
2,33,-4,0,1,1,0,1,4.12,0,0,0,1,0
3,36,-2,1,0,0,0,0,4.01,0,0,1,1,0
3,38,-1,1,0,1,0,0,3.66,1,0,1,1,0
4,28,-5,0,0,2,0,0,3.94,0,0,1,1,0
2,30,-3,0,0,0,0,0,4.12,0,0,1,1,0
2,32,-1,0,0,0,1,1,3.91,0,0,0,1,0
3,38,-4,0,0,0,0,0,3.98,0,0,0,1,0
6,34,0,1,0,2,1,0,3.8899999999999997,0,0,0,1,0
2,33,-3,1,0,0,0,1,4.1,0,0,1,1,0
6,33,0,1,0,1,0,0,3.77,0,0,0,1,0
3,36,-4,2,0,1,1,1,4.01,0,0,0,1,0
3,35,-2,1,0,2,1,0,4.05,0,0,0,1,0
4,36,0,0,1,1,0,0,3.92,0,0,0,1,0
5,32,-1,0,0,1,0,0,3.84,0,0,0,1,0
3,32,-4,0,1,1,0,0,4.02,0,0,1,1,0
3,39,3,1,0,0,0,0,4.109999999999999,0,0,0,1,0
3,36,0,0,0,0,0,0,3.91,0,0,1,1,0
4,42,-1,1,1,0,1,0,3.92,0,0,0,1,0
3,40,-3,0,0,0,0,0,3.92,0,0,0,1,0
2,29,-2,1,0,1,0,0,3.8,0,0,0,1,0
6,36,0,1,0,0,0,1,3.9699999999999998,0,0,1,1,0
5,35,-4,0,0,1,0,0,3.87,0,0,1,1,0
6,33,0,0,0,1,0,0,4.0600000000000005,0,0,0,1,0
6,24,-2,3,0,0,2,1,3.88,0,0,0,1,0
2,30,-4,0,1,0,1,0,3.94,0,0,0,1,0
2,49,-1,0,0,1,0,0,3.99,0,1,0,1,0
4,31,-2,1,1,1,0,0,3.73,0,0,0,1,0
4,22,-1,1,0,1,0,0,3.9699999999999998,0,0,1,1,0
2,24,-1,0,0,3,0,0,4.16,0,0,0,1,0
5,36,-4,0,0,1,1,0,4.140000000000001,0,0,0,1,0
3,29,-2,0,0,0,0,0,4.15,0,0,0,1,0
4,31,-2,0,0,3,2,0,4.16,0,0,1,1,0
5,23,1,0,0,1,0,1,4.0,1,0,0,1,0
3,32,0,1,1,0,0,0,4.140000000000001,0,0,1,1,0
3,29,2,0,0,0,0,0,4.05,0,0,0,1,0
1,25,1,0,0,0,0,0,3.96,1,0,0,1,0
1,38,-3,0,0,0,1,0,4.08,0,0,0,1,0
2,39,-3,1,1,1,0,0,4.15,0,1,0,1,0
3,27,-2,0,0,1,1,0,4.0600000000000005,0,0,0,1,0
3,32,-1,1,1,0,0,1,3.9699999999999998,0,0,0,1,0
4,29,-2,1,0,0,0,1,3.92,0,0,1,1,0
3,38,0,0,0,1,0,0,4.05,1,0,0,1,0
3,39,-2,1,0,0,0,0,4.0,0,0,0,1,0
6,35,1,0,0,0,0,0,3.8600000000000003,0,0,0,1,0
3,41,-5,1,0,0,0,1,4.25,0,0,0,1,0
5,26,-1,1,1,1,0,0,4.029999999999999,0,0,0,1,0
4,42,-3,2,0,1,0,0,4.109999999999999,0,0,0,1,0
5,33,-2,0,1,0,0,0,4.09,0,0,0,1,0
4,33,-3,0,0,1,0,0,4.0600000000000005,0,0,0,1,0
2,30,-2,2,0,0,0,0,4.04,0,0,0,1,0
2,35,-3,1,0,1,0,0,3.99,0,0,0,1,0
2,30,-2,0,0,2,0,1,4.1,0,0,1,1,0
4,27,-5,1,1,2,1,1,3.94,0,0,0,1,0
7,36,-6,1,1,1,1,0,3.98,1,0,1,1,0
6,36,2,0,0,0,0,0,3.8600000000000003,1,0,0,1,0
5,39,-4,0,0,0,0,0,3.84,0,0,0,1,0
4,49,-1,0,0,0,0,1,3.96,0,1,0,1,0
2,37,-6,0,0,1,0,0,4.12,0,0,0,1,0
3,40,-1,1,0,0,0,0,3.95,1,0,1,1,0
3,32,-2,0,0,1,1,0,4.27,0,0,0,1,0
4,25,-2,0,0,1,0,0,3.8,0,0,0,1,0
4,27,-6,0,1,0,1,0,3.92,0,0,0,1,0
2,30,-3,0,0,1,1,0,4.02,0,0,0,1,0
5,34,0,0,0,3,0,1,3.98,0,0,0,1,0
5,35,-3,0,0,0,0,0,4.12,0,0,0,1,0
5,21,-3,0,0,2,0,0,4.08,1,1,0,1,0
4,23,-4,2,0,0,1,0,3.94,0,0,0,1,0
4,19,-4,0,0,0,0,0,4.07,0,1,0,1,0
3,31,-1,1,1,0,1,0,4.08,0,0,0,1,0
3,30,-1,0,0,0,0,0,3.84,1,0,0,1,0
3,28,4,0,0,1,0,0,3.87,0,1,1,1,0
3,30,-3,0,0,1,0,0,3.8899999999999997,0,0,1,1,0
2,36,-3,0,0,0,0,0,3.83,0,0,0,1,0
3,35,-3,0,0,1,0,0,4.17,0,0,0,1,0
4,41,-3,0,0,0,0,0,4.2,0,0,0,1,0
2,41,-3,1,1,0,1,0,4.26,0,0,0,1,0
4,26,3,0,0,0,0,0,3.99,0,0,0,1,0
5,27,-5,1,0,3,1,0,4.01,1,0,1,1,0
2,35,1,1,0,1,1,0,4.01,1,0,1,1,0
1,41,1,1,0,2,0,0,3.96,0,0,0,1,0
5,36,2,0,0,0,1,0,4.0,0,1,0,1,0
5,28,-5,0,0,0,0,0,4.07,0,0,1,1,0
6,34,-1,0,0,0,0,0,3.98,0,0,0,1,0
6,36,0,0,0,0,0,0,3.95,0,0,0,1,0
2,39,2,0,0,0,0,0,3.73,0,0,0,1,0
6,30,-5,1,1,0,0,0,4.15,0,0,0,1,0
1,37,0,0,0,1,0,0,3.74,0,0,0,1,0
5,37,-2,1,1,0,0,0,4.1,0,0,0,1,0
2,38,-3,1,1,2,1,0,4.16,0,0,0,1,0
3,37,2,2,0,0,1,0,4.2,0,0,0,1,0
4,33,0,1,1,2,0,0,4.029999999999999,1,0,1,1,0
2,39,-3,0,0,0,0,0,4.109999999999999,1,0,0,1,0
3,45,-6,2,0,0,0,0,3.98,0,0,0,1,0
3,29,-3,0,0,0,0,0,3.87,0,0,0,1,0
5,30,1,0,0,1,0,0,4.07,0,0,0,1,0
2,29,0,0,0,0,0,0,3.94,1,0,0,1,0
3,27,-3,1,0,0,0,0,4.029999999999999,0,0,0,1,0
5,30,1,1,0,1,0,0,3.9299999999999997,0,0,0,1,0
3,25,-4,0,0,0,0,1,4.24,1,0,0,1,0
1,28,-1,0,0,4,0,0,4.02,0,0,0,1,0
5,25,-5,0,0,0,0,0,4.05,0,0,0,1,0
6,36,0,1,0,2,1,0,4.029999999999999,0,0,0,1,0
6,34,-3,1,0,0,0,0,4.1899999999999995,0,0,0,1,0
4,37,-3,0,0,0,1,0,3.65,0,0,1,1,0
3,26,-2,0,0,1,0,0,4.45,0,0,0,1,0
5,50,-6,1,1,2,0,0,4.26,1,0,0,1,0
3,27,-4,0,0,1,1,0,3.95,0,0,1,1,0
1,38,-2,1,0,1,0,1,4.15,0,0,0,1,0
2,39,-3,0,0,3,0,0,3.96,0,0,0,1,0
3,32,-6,0,0,3,0,0,4.13,1,0,0,1,0
4,29,-4,1,0,1,0,0,4.12,1,0,0,1,0
4,41,0,0,0,0,0,0,3.95,0,0,0,1,0
5,28,0,1,0,0,0,0,4.27,0,0,1,1,0
6,35,-1,0,0,3,0,0,3.8899999999999997,0,0,0,1,0
3,39,-1,1,0,2,1,1,4.05,0,0,1,1,0
2,30,3,0,1,0,0,0,4.1,0,0,0,1,0
3,34,-2,0,0,2,1,0,3.8899999999999997,0,0,0,1,0
3,35,-2,1,1,1,0,0,4.18,0,0,0,1,0
3,36,2,0,1,2,1,0,3.94,0,0,0,1,0
4,38,-4,2,0,1,0,0,4.109999999999999,0,0,0,1,0
4,39,-2,1,0,0,0,0,4.05,0,0,0,1,0
1,42,-3,0,0,1,0,0,4.21,0,0,1,1,0
5,31,-2,1,0,1,0,0,4.0,0,0,0,1,0
2,28,-6,1,0,0,1,1,4.05,0,0,0,1,0
5,35,-1,0,0,2,0,0,4.2,0,0,0,1,0
2,44,-1,0,1,1,0,0,4.24,0,0,0,1,0
5,37,-2,1,0,2,1,0,3.88,0,0,1,1,0
4,26,-2,1,0,2,0,0,4.18,0,0,0,1,0
3,29,-2,2,0,1,1,0,4.13,0,0,1,1,0
3,37,-1,1,0,3,1,0,3.8899999999999997,0,1,0,1,0
8,34,3,2,0,2,0,0,4.140000000000001,0,1,0,1,0
7,31,2,3,0,1,0,0,3.91,0,1,0,1,0
3,34,-4,1,1,0,1,0,4.15,0,0,0,1,0
4,35,-3,0,0,0,2,0,4.0,0,0,1,1,0
3,37,-1,0,0,1,0,0,3.7800000000000002,0,0,0,1,0
2,30,-4,0,1,0,0,0,4.0,0,0,0,1,0
4,39,1,0,1,1,0,0,3.88,0,1,0,1,0
7,33,-1,2,1,1,0,0,4.02,0,0,0,1,0
8,29,-2,1,0,2,0,0,4.02,0,0,0,1,0
2,30,-1,0,0,1,1,0,3.95,0,1,0,1,0
3,37,-1,1,0,1,0,0,3.88,0,1,1,1,0
2,41,0,1,0,3,0,0,4.0600000000000005,0,0,0,1,0
5,39,-3,1,0,0,0,0,4.1,0,0,0,1,0
3,34,-5,0,1,2,0,0,4.109999999999999,0,0,0,1,0
3,42,-2,0,1,0,1,0,3.9299999999999997,0,0,1,1,0
5,40,0,0,1,1,0,0,4.029999999999999,0,0,0,1,0
3,33,-4,2,0,0,2,0,3.8600000000000003,0,0,0,1,0
5,36,-2,2,0,2,0,0,4.17,0,1,0,1,0
4,31,-1,0,0,1,1,0,4.109999999999999,0,0,0,1,0
4,33,-1,0,0,0,0,1,4.07,0,0,0,1,0
3,29,-3,0,0,1,1,0,4.17,0,1,1,1,0
2,25,-5,0,0,1,0,0,3.99,1,0,0,1,0
4,27,-5,0,0,0,0,0,4.0,0,0,0,1,0
1,37,-3,1,0,0,0,0,4.25,0,0,1,1,0
3,32,-1,1,0,1,0,0,4.2,0,0,0,1,0
3,41,-3,2,0,0,0,0,3.9699999999999998,0,0,1,1,0
4,33,-1,1,1,2,1,0,4.0,1,0,0,1,0
3,35,-1,1,0,0,1,0,4.1,0,0,0,1,0
2,36,-3,0,0,0,1,0,4.12,0,1,0,1,0
2,44,-5,0,0,2,0,0,3.95,0,0,1,1,0
